,modzcta_name,percentpositivity_7day,people_tested,people_positive,median_daily_test_rate,adequately_tested,daterange,biden_margin,pop_est,rate_per_100k
10001,Chelsea/NoMad/West Chelsea,1.94,1184.0,23.0,557.7,Yes,November 23-November 29,0.7312088673363353,23072,14.2411333465425
10002,Chinatown/Lower East Side,3.1,2324.0,72.0,426.2,Yes,November 23-November 29,0.6411628883291351,74993,13.715565833763533
10003,East Village/Gramercy/Greenwich Village,1.59,2828.0,45.0,487.2,Yes,November 23-November 29,0.8127645308636802,54682,11.756284387131831
10004,Financial District,2.35,255.0,6.0,1144.0,Yes,November 23-November 29,0.6771623672230652,3028,28.307227778826192
10005,Financial District,1.4,358.0,5.0,388.3,Yes,November 23-November 29,0.68,8831,8.08838992510151
10006,Financial District,2.9,138.0,4.0,443.6,Yes,November 23-November 29,0.6954545454545454,3454,16.543965588551576
10007,TriBeCa,1.18,423.0,5.0,514.9,Yes,November 23-November 29,0.7145289443813847,7023,10.170663737515511
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,2.76,2390.0,66.0,528.4,Yes,November 23-November 29,0.7419920015235193,57925,16.277205746346876
10010,Flatiron/Gramercy/Kips Bay,1.71,1810.0,31.0,572.7,Yes,November 23-November 29,0.7257880744398025,33730,13.129473550463768
10011,Chelsea,1.84,2768.0,51.0,589.0,Yes,November 23-November 29,0.811437697250846,50472,14.435160654846817
10012,Greenwich Village/SoHo,2.47,1256.0,31.0,501.0,Yes,November 23-November 29,0.802700116934198,23411,18.916626494260942
10013,Hudson Square/Little Italy/SoHo/TriBeCa,2.47,1337.0,33.0,544.8,Yes,November 23-November 29,0.7377625450391071,28709,16.420933206610172
10014,Hudson Square/Meatpacking District/West Village,1.52,1645.0,25.0,527.4,Yes,November 23-November 29,0.8188129594337055,30738,11.618936077261278
10016,Kips Bay/Murray Hill/NoMad,2.62,2899.0,76.0,605.0,Yes,November 23-November 29,0.6772815533980583,51057,21.26474892207309
10017,East Midtown/Murray Hill,1.74,688.0,12.0,480.4,Yes,November 23-November 29,0.6142689141513131,15801,10.84922292440804
10018,Hell's Kitchen/Midtown Manhattan,3.7,405.0,15.0,508.9,Yes,November 23-November 29,0.7104689203925845,9687,22.120957395036054
10019,Hell's Kitchen/Midtown Manhattan,1.96,1833.0,36.0,496.3,Yes,November 23-November 29,0.6876748637903107,43703,11.76774396004197
10021,Lenox Hill/Upper East Side,2.43,2341.0,57.0,527.5,Yes,November 23-November 29,0.6185246201720667,46215,17.619511290397366
10022,East Midtown,2.4,1416.0,34.0,602.0,Yes,November 23-November 29,0.5918989547038328,31125,15.605278255880666
10023,Lincoln Square,2.2,2903.0,64.0,632.9,Yes,November 23-November 29,0.7558258642765685,62435,14.643800981592284
10024,Upper West Side,1.74,2703.0,47.0,612.9,Yes,November 23-November 29,0.8055533370604052,59001,11.379952397901247
10025,Manhattan Valley/Morningside Heights/Upper West Side,1.86,4724.0,88.0,542.5,Yes,November 23-November 29,0.8246697300402068,92805,13.546068176745404
10026,Central Harlem (South),3.36,1368.0,46.0,488.8,Yes,November 23-November 29,0.8762121705174097,39363,16.694430229983922
10027,Central Harlem (South)/Morningside Heights/West Harlem,2.1,2807.0,59.0,410.1,Yes,November 23-November 29,0.8722212497812007,64548,13.057835143724715
10028,Upper East Side/Yorkville,1.49,2220.0,33.0,553.1,Yes,November 23-November 29,0.6522095933691683,47793,9.863966928809061
10029,East Harlem,3.66,2238.0,82.0,410.4,Yes,November 23-November 29,0.7777425826206313,79597,14.716994000132813
10030,Central Harlem (North),4.91,957.0,47.0,488.6,Yes,November 23-November 29,0.8956711600531612,29882,22.46933175251226
10031,Hamilton Heights/West Harlem,4.03,1736.0,70.0,366.0,Yes,November 23-November 29,0.808023314056737,60254,16.596408537192552
10032,Washington Heights (South),4.27,2059.0,88.0,447.3,Yes,November 23-November 29,0.7480710836776345,64264,19.562163219576387
10033,Washington Heights (North)/Washington Heights (South),4.6,1782.0,82.0,435.8,Yes,November 23-November 29,0.6817349740669175,59607,19.652533619014065
10034,Inwood/Washington Heights (North),5.58,1237.0,69.0,459.3,Yes,November 23-November 29,0.7346093843753749,42910,22.97166827579319
10035,East Harlem,2.58,970.0,25.0,298.0,Yes,November 23-November 29,0.8102547617134132,35743,9.99196645896699
10036,Hell's Kitchen/Midtown Manhattan,3.02,1093.0,33.0,433.2,Yes,November 23-November 29,0.7256771918576694,27428,17.187858080376675
